latent_dim=32, p=4, learning_rate=0.0001, normalize=True, best_result={'epoch': 70, 'ACC': 39.71, 'NMI': 13.819999999999999, 'PUR': 45.04}, final_result={'epoch': 149, 'ACC': 38.42, 'NMI': 13.420000000000002, 'PUR': 44.49}
latent_dim=32, p=4, learning_rate=0.0001, normalize=False, best_result={'epoch': 114, 'ACC': 78.86, 'NMI': 63.349999999999994, 'PUR': 81.8}, final_result={'epoch': 149, 'ACC': 78.49000000000001, 'NMI': 62.339999999999996, 'PUR': 81.43}
latent_dim=32, p=8, learning_rate=0.01, normalize=True, best_result={'epoch': 73, 'ACC': 57.35, 'NMI': 29.099999999999998, 'PUR': 60.85}, final_result={'epoch': 149, 'ACC': 52.76, 'NMI': 30.880000000000003, 'PUR': 57.35}
latent_dim=32, p=8, learning_rate=0.01, normalize=False, best_result={'epoch': 118, 'ACC': 85.11, 'NMI': 69.06, 'PUR': 85.11}, final_result={'epoch': 149, 'ACC': 85.11, 'NMI': 69.17, 'PUR': 85.11}
latent_dim=32, p=8, learning_rate=0.0001, normalize=True, best_result={'epoch': 97, 'ACC': 39.89, 'NMI': 13.34, 'PUR': 44.49}, final_result={'epoch': 149, 'ACC': 39.519999999999996, 'NMI': 12.740000000000002, 'PUR': 43.93}
latent_dim=32, p=8, learning_rate=0.0001, normalize=False, best_result={'epoch': 128, 'ACC': 77.94, 'NMI': 59.51, 'PUR': 79.41}, final_result={'epoch': 149, 'ACC': 77.94, 'NMI': 59.51, 'PUR': 79.41}
latent_dim=32, p=16, learning_rate=0.01, normalize=True, best_result={'epoch': 51, 'ACC': 44.12, 'NMI': 15.53, 'PUR': 44.49}, final_result={'epoch': 149, 'ACC': 42.65, 'NMI': 15.39, 'PUR': 47.43}
latent_dim=32, p=16, learning_rate=0.01, normalize=False, best_result={'epoch': 130, 'ACC': 70.59, 'NMI': 53.72, 'PUR': 71.32}, final_result={'epoch': 149, 'ACC': 70.59, 'NMI': 53.72, 'PUR': 71.32}
latent_dim=32, p=16, learning_rate=0.0001, normalize=True, best_result={'epoch': 64, 'ACC': 37.68, 'NMI': 9.41, 'PUR': 43.75}, final_result={'epoch': 149, 'ACC': 36.58, 'NMI': 7.670000000000001, 'PUR': 40.26}
latent_dim=32, p=16, learning_rate=0.0001, normalize=False, best_result={'epoch': 119, 'ACC': 75.55, 'NMI': 53.94, 'PUR': 77.94}, final_result={'epoch': 149, 'ACC': 75.55, 'NMI': 53.94, 'PUR': 77.94}
latent_dim=64, p=1, learning_rate=0.01, normalize=True, best_result={'epoch': 106, 'ACC': 80.33, 'NMI': 64.05999999999999, 'PUR': 80.33}, final_result={'epoch': 149, 'ACC': 80.15, 'NMI': 63.39, 'PUR': 80.15}
latent_dim=64, p=1, learning_rate=0.01, normalize=False, best_result={'epoch': 34, 'ACC': 95.39999999999999, 'NMI': 86.16, 'PUR': 95.39999999999999}, final_result={'epoch': 149, 'ACC': 88.6, 'NMI': 78.34, 'PUR': 88.6}
latent_dim=64, p=1, learning_rate=0.0001, normalize=True, best_result={'epoch': 63, 'ACC': 60.480000000000004, 'NMI': 33.78, 'PUR': 63.239999999999995}, final_result={'epoch': 149, 'ACC': 58.269999999999996, 'NMI': 29.409999999999997, 'PUR': 61.58}
latent_dim=64, p=1, learning_rate=0.0001, normalize=False, best_result={'epoch': 99, 'ACC': 88.6, 'NMI': 71.84, 'PUR': 88.6}, final_result={'epoch': 149, 'ACC': 88.24, 'NMI': 71.41, 'PUR': 88.24}
latent_dim=64, p=2, learning_rate=0.01, normalize=True, best_result={'epoch': 108, 'ACC': 73.35000000000001, 'NMI': 52.55, 'PUR': 73.9}, final_result={'epoch': 149, 'ACC': 72.78999999999999, 'NMI': 51.61, 'PUR': 73.53}
latent_dim=64, p=2, learning_rate=0.01, normalize=False, best_result={'epoch': 38, 'ACC': 94.85, 'NMI': 84.69, 'PUR': 94.85}, final_result={'epoch': 149, 'ACC': 71.32, 'NMI': 70.76, 'PUR': 84.56}
latent_dim=64, p=2, learning_rate=0.0001, normalize=True, best_result={'epoch': 90, 'ACC': 54.230000000000004, 'NMI': 29.659999999999997, 'PUR': 62.32}, final_result={'epoch': 149, 'ACC': 52.39, 'NMI': 29.349999999999998, 'PUR': 61.760000000000005}
latent_dim=64, p=2, learning_rate=0.0001, normalize=False, best_result={'epoch': 126, 'ACC': 94.49, 'NMI': 83.14, 'PUR': 94.49}, final_result={'epoch': 149, 'ACC': 94.49, 'NMI': 83.14, 'PUR': 94.49}
latent_dim=64, p=3, learning_rate=0.01, normalize=True, best_result={'epoch': 84, 'ACC': 69.12, 'NMI': 43.78, 'PUR': 69.12}, final_result={'epoch': 149, 'ACC': 66.91, 'NMI': 43.57, 'PUR': 68.57}
latent_dim=64, p=3, learning_rate=0.01, normalize=False, best_result={'epoch': 61, 'ACC': 94.67, 'NMI': 84.14, 'PUR': 94.67}, final_result={'epoch': 149, 'ACC': 71.69, 'NMI': 70.11, 'PUR': 84.19}
latent_dim=64, p=3, learning_rate=0.0001, normalize=True, best_result={'epoch': 62, 'ACC': 55.15, 'NMI': 25.94, 'PUR': 57.35}, final_result={'epoch': 149, 'ACC': 54.6, 'NMI': 28.060000000000002, 'PUR': 58.089999999999996}
latent_dim=64, p=3, learning_rate=0.0001, normalize=False, best_result={'epoch': 51, 'ACC': 91.73, 'NMI': 77.63, 'PUR': 91.73}, final_result={'epoch': 149, 'ACC': 77.75999999999999, 'NMI': 74.37, 'PUR': 83.64}
latent_dim=64, p=4, learning_rate=0.01, normalize=True, best_result={'epoch': 132, 'ACC': 56.07, 'NMI': 30.84, 'PUR': 59.74}, final_result={'epoch': 149, 'ACC': 56.07, 'NMI': 30.84, 'PUR': 59.74}
latent_dim=64, p=4, learning_rate=0.01, normalize=False, best_result={'epoch': 84, 'ACC': 93.75, 'NMI': 82.64, 'PUR': 93.75}, final_result={'epoch': 149, 'ACC': 92.83, 'NMI': 80.58999999999999, 'PUR': 92.83}
